timestamp,IAQ_Accuracy,IAQ,Gas,eCO2 ppm,bVOCe ppm
2020-07-26 07:30:49,0,25.00,11110,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:30:52,0,25.00,21944,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:30:55,0,25.00,33417,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:30:58,0,25.00,42803,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:31:01,0,25.00,50246,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:31:04,0,25.00,55738,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:33:34,0,25.00,5468,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:33:37,0,25.00,12311,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:33:40,0,25.00,20394,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:33:43,0,25.00,27866,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:33:46,0,25.00,34384,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:33:49,0,25.00,40042,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:33:52,0,25.00,44929,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:33:55,0,25.00,48658,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:33:58,0,25.00,51812,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:01,0,25.00,54711,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:04,0,25.00,56960,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:07,0,25.00,58939,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:10,0,25.00,60659,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:13,0,25.00,62017,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:16,0,25.00,63388,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:19,0,25.00,64721,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:22,0,25.00,66111,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:25,0,25.00,66909,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:28,0,25.00,66963,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:31,0,25.00,67837,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:34,0,25.00,68395,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:37,0,25.00,68963,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:40,0,25.00,69540,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:43,0,25.00,70126,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:46,0,25.00,70304,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:49,0,25.00,71025,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:52,0,25.00,72072,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:55,0,25.00,71514,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:34:58,0,25.00,71761,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:01,0,25.00,72197,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:04,0,25.00,71637,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:07,0,25.00,72449,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:10,0,25.00,72386,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:13,0,25.00,72449,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:16,0,25.00,72702,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:19,0,25.00,73150,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:22,0,25.00,72830,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:25,0,25.00,72958,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:28,0,25.00,73669,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:31,0,25.00,74129,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:34,0,25.00,74063,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:37,0,25.00,74661,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:40,0,25.00,74594,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:43,0,25.00,74461,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:46,0,25.00,74063,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:49,0,25.00,74594,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:52,0,25.00,74461,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:55,0,25.00,74661,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:35:58,0,25.00,74528,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:01,0,25.00,74661,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:04,0,25.00,74661,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:07,0,25.00,74528,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:10,0,25.00,74729,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:13,0,25.00,74729,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:16,0,25.00,74998,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:19,0,25.00,74998,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:22,0,25.00,75202,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:25,0,25.00,75612,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:28,0,25.00,75066,500.000000000000000,0.4999999403953552246093750
